M,K,N,method,R,S,median_us,min_worker_us,max_worker_us,worker_us,runs,baseline_changed,outputs,max_abs,max_L1_relative,relative_L2
17408,5120,1,3,4,32,296.18665999999996,296.00001499999996,298.88533,"[296.00001499999996, 296.18665999999996, 298.88533]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,4,4,8,158.426665,158.384005,158.52267,"[158.52267, 158.426665, 158.384005]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",13837,17408,0.0164566763,4.692863847e-08,1.197766597e-07
17408,5120,1,4,4,32,170.58667,169.30133,170.74668,"[170.58667, 169.30133, 170.74668]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",13313,17408,0.01110439425,4.005936811e-08,1.042294604e-07
17408,5120,1,5,1,32,1490.4533649999998,1490.159915,1493.07727,"[1493.07727, 1490.159915, 1490.4533649999998]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,6,1,32,1268.47467,1263.365355,1274.394655,"[1274.394655, 1268.47467, 1263.365355]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,7,1,32,309.73334,309.690675,309.89868,"[309.89868, 309.690675, 309.73334]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,7,2,32,204.92800499999998,204.48532999999998,204.98133,"[204.92800499999998, 204.48532999999998, 204.98133]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,7,4,32,161.68,161.551995,161.74400500000002,"[161.551995, 161.68, 161.74400500000002]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,8,4,32,296.725345,295.68533,296.832,"[296.725345, 296.832, 295.68533]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",0,17408,0.01129590199,3.736038849e-08,1.031539396e-07
17408,5120,1,9,4,32,174.69334,173.882675,174.86399,"[174.86399, 173.882675, 174.69334]","['1788871542842333124', '1788871595219634625', '1788871653351423149']",13313,17408,0.01110439425,4.005936811e-08,1.042294604e-07
