shape,selected,a16_r2_us,a16_r3_us,a4_selected_us,a4_fp32_us,a4_half2_us,a4_slowdown_vs_r3_pct,paired_slowdown_min_pct,paired_slowdown_max_pct,a4_gain_vs_r2_pct,a4_gain_vs_fp32_pct,synthetic_relative_l2
5120-5120-1,w4a4_h2_r4_b1,39.0253335,36.7666665,39.7333335,40.741333,54.5933325,8.06890393503583,6.8637584964180265,8.332125957253389,-1.814206148936548,2.4741446235939213,0.0989336774
17408-5120-1,w4a4_h2_r2_b1_w8_f,114.984001,107.422661,111.14133050000001,112.0493355,149.048004,3.461717914435214,3.0680198059650277,3.916855718595369,3.341917542076134,0.8103617892495141,0.10187432
5120-17408-1,w4a4_h2_r8_b1,111.936001,106.73067449999999,107.16133149999999,111.86399850000001,153.5480045,0.40349880858290277,0.12349858835833949,0.5052082500470068,4.265535178445424,4.203914631211769,0.0972415842
5120-5120-4,w4a4_h0_r4_b4,65.01333249999999,63.616001,69.25466549999999,69.25466549999999,81.55333350000001,8.863594711022449,8.745716626973321,9.314828536019837,-6.523789562702387,0.0,0.101972085
