2026/09/08 20:15:13.478, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 0, 405, 36, 27.31
2026/09/08 20:15:13.682, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 7, 0, 405, 36, 27.31
2026/09/08 20:15:13.885, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 15, 0, 405, 36, 27.31
2026/09/08 20:15:14.107, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 3, 1189, 36, 34.37
2026/09/08 20:15:14.311, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 83, 1316, 38, 182.41
2026/09/08 20:15:14.514, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 39, 200.79
2026/09/08 20:15:14.717, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 40, 203.23
2026/09/08 20:15:14.921, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 41, 208.41
2026/09/08 20:15:15.124, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 41, 213.54
2026/09/08 20:15:15.330, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 41, 211.41
2026/09/08 20:15:15.534, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 72, 1328, 40, 42.44
2026/09/08 20:15:15.737, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 5, 1328, 39, 41.19
2026/09/08 20:15:15.941, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 15, 0, 1328, 38, 40.94
2026/09/08 20:15:16.150, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 5, 1328, 38, 42.16
2026/09/08 20:15:16.354, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 17, 1328, 39, 211.60
2026/09/08 20:15:16.557, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 41, 214.78
2026/09/08 20:15:16.761, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 41, 208.97
2026/09/08 20:15:16.964, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 42, 212.62
2026/09/08 20:15:17.170, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 43, 220.01
2026/09/08 20:15:17.373, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 43, 216.08
2026/09/08 20:15:17.577, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 265, 99, 1328, 42, 44.87
2026/09/08 20:15:17.780, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 41, 1328, 40, 41.68
2026/09/08 20:15:17.983, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 7, 0, 1328, 40, 41.19
2026/09/08 20:15:18.189, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 15, 0, 1328, 39, 40.94
2026/09/08 20:15:18.411, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 5, 1328, 39, 42.40
2026/09/08 20:15:18.614, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 17, 1328, 41, 215.13
2026/09/08 20:15:18.818, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 42, 211.76
2026/09/08 20:15:19.021, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 43, 212.47
2026/09/08 20:15:19.225, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 43, 213.96
2026/09/08 20:15:19.429, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 43, 210.93
2026/09/08 20:15:19.632, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 99, 1328, 44, 219.12
2026/09/08 20:15:19.836, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 44, 1328, 42, 42.67
2026/09/08 20:15:20.039, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 5, 0, 1328, 40, 41.68
2026/09/08 20:15:20.243, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 15, 0, 1328, 40, 41.19
2026/09/08 20:15:20.522, GPU-ecc6a1f9-42fe-2932-7ea0-1dd285491b7b, 363, 8, 1328, 40, 43.11
